points,hand_card_1,hand_card_2,hand_card_3,hand_card_4,cut_card
14,2H,3H,4H,5H,6H
11,2H,3H,4H,5H,7H
13,2H,3H,4H,5H,8H
11,2H,3H,4H,5H,9H
13,2H,3H,4H,5H,TH
13,2H,3H,4H,5H,JH
13,2H,3H,4H,5H,QH
13,2H,3H,4H,5H,KH
12,2H,3H,4H,5H,AH
14,2H,3H,4H,5H,2D
16,2H,3H,4H,5H,3D
16,2H,3H,4H,5H,4D
16,2H,3H,4H,5H,5D
13,2H,3H,4H,5H,6D
10,2H,3H,4H,5H,7D
12,2H,3H,4H,5H,8D
10,2H,3H,4H,5H,9D
12,2H,3H,4H,5H,TD
12,2H,3H,4H,5H,JD
12,2H,3H,4H,5H,QD
12,2H,3H,4H,5H,KD
7,2H,3H,4H,5H,AD
14,2H,3H,4H,5H,2S
16,2H,3H,4H,5H,3S
16,2H,3H,4H,5H,4S
16,2H,3H,4H,5H,5S
13,2H,3H,4H,5H,6S
10,2H,3H,4H,5H,7S
12,2H,3H,4H,5H,8S
10,2H,3H,4H,5H,9S
12,2H,3H,4H,5H,TS
12,2H,3H,4H,5H,JS
12,2H,3H,4H,5H,QS
12,2H,3H,4H,5H,KS
7,2H,3H,4H,5H,AS
14,2H,3H,4H,5H,2C
16,2H,3H,4H,5H,3C
16,2H,3H,4H,5H,4C
16,2H,3H,4H,5H,5C
13,2H,3H,4H,5H,6C
10,2H,3H,4H,5H,7C
12,2H,3H,4H,5H,8C
10,2H,3H,4H,5H,9C
12,2H,3H,4H,5H,TC
12,2H,3H,4H,5H,JC
12,2H,3H,4H,5H,QC
12,2H,3H,4H,5H,KC
7,2H,3H,4H,5H,AC
14,2H,3H,4H,6H,5H
12,2H,3H,4H,6H,7H
12,2H,3H,4H,6H,8H
14,2H,3H,4H,6H,9H
12,2H,3H,4H,6H,TH
12,2H,3H,4H,6H,JH
12,2H,3H,4H,6H,QH
12,2H,3H,4H,6H,KH
11,2H,3H,4H,6H,AH
16,2H,3H,4H,6H,2D
16,2H,3H,4H,6H,3D
16,2H,3H,4H,6H,4D
13,2H,3H,4H,6H,5D
15,2H,3H,4H,6H,6D
11,2H,3H,4H,6H,7D
11,2H,3H,4H,6H,8D
13,2H,3H,4H,6H,9D
11,2H,3H,4H,6H,TD
11,2H,3H,4H,6H,JD
11,2H,3H,4H,6H,QD
11,2H,3H,4H,6H,KD
6,2H,3H,4H,6H,AD
16,2H,3H,4H,6H,2S
16,2H,3H,4H,6H,3S
16,2H,3H,4H,6H,4S
13,2H,3H,4H,6H,5S
15,2H,3H,4H,6H,6S
11,2H,3H,4H,6H,7S
11,2H,3H,4H,6H,8S
13,2H,3H,4H,6H,9S
11,2H,3H,4H,6H,TS
11,2H,3H,4H,6H,JS
11,2H,3H,4H,6H,QS
11,2H,3H,4H,6H,KS
6,2H,3H,4H,6H,AS
16,2H,3H,4H,6H,2C
16,2H,3H,4H,6H,3C
16,2H,3H,4H,6H,4C
13,2H,3H,4H,6H,5C
15,2H,3H,4H,6H,6C
11,2H,3H,4H,6H,7C
11,2H,3H,4H,6H,8C
13,2H,3H,4H,6H,9C
11,2H,3H,4H,6H,TC
11,2H,3H,4H,6H,JC
11,2H,3H,4H,6H,QC
11,2H,3H,4H,6H,KC
6,2H,3H,4H,6H,AC
11,2H,3H,4H,7H,5H
12,2H,3H,4H,7H,6H
12,2H,3H,4H,7H,8H
10,2H,3H,4H,7H,9H
10,2H,3H,4H,7H,TH
10,2H,3H,4H,7H,JH
10,2H,3H,4H,7H,QH
10,2H,3H,4H,7H,KH
11,2H,3H,4H,7H,AH
14,2H,3H,4H,7H,2D
14,2H,3H,4H,7H,3D
14,2H,3H,4H,7H,4D
10,2H,3H,4H,7H,5D
11,2H,3H,4H,7H,6D
9,2H,3H,4H,7H,7D
11,2H,3H,4H,7H,8D
9,2H,3H,4H,7H,9D
9,2H,3H,4H,7H,TD
9,2H,3H,4H,7H,JD
9,2H,3H,4H,7H,QD
9,2H,3H,4H,7H,KD
6,2H,3H,4H,7H,AD
14,2H,3H,4H,7H,2S
14,2H,3H,4H,7H,3S
14,2H,3H,4H,7H,4S
10,2H,3H,4H,7H,5S
11,2H,3H,4H,7H,6S
9,2H,3H,4H,7H,7S
11,2H,3H,4H,7H,8S
9,2H,3H,4H,7H,9S
9,2H,3H,4H,7H,TS
9,2H,3H,4H,7H,JS
9,2H,3H,4H,7H,QS
9,2H,3H,4H,7H,KS
6,2H,3H,4H,7H,AS
14,2H,3H,4H,7H,2C
14,2H,3H,4H,7H,3C
14,2H,3H,4H,7H,4C
10,2H,3H,4H,7H,5C
11,2H,3H,4H,7H,6C
9,2H,3H,4H,7H,7C
11,2H,3H,4H,7H,8C
9,2H,3H,4H,7H,9C
9,2H,3H,4H,7H,TC
9,2H,3H,4H,7H,JC
9,2H,3H,4H,7H,QC
9,2H,3H,4H,7H,KC
6,2H,3H,4H,7H,AC